Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_processed_1_5281702_uff_E=344.02,-6.8,0.0,0.0
pre_processed_1_5281702_uff_E=344.02,-6.7,2.087,1.944
pre_processed_1_5281702_uff_E=344.02,-6.7,2.668,0.867
pre_processed_1_5281702_uff_E=344.02,-6.6,3.042,1.882
pre_processed_1_5281702_uff_E=344.02,-6.6,3.181,1.8
pre_processed_1_5281702_uff_E=344.02,-6.4,7.628,2.442
pre_processed_1_5281702_uff_E=344.02,-6.4,4.207,2.239
pre_processed_1_5281702_uff_E=344.02,-6.4,19.248,15.469
pre_processed_1_5281702_uff_E=344.02,-6.3,19.33,15.532
