Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_processed_1_5280442_uff_E=247.39,-7.2,0,0
pre_processed_1_5280442_uff_E=247.39,-6.9,15.362,13.019
pre_processed_1_5280442_uff_E=247.39,-6.9,14.805,13.4
pre_processed_1_5280442_uff_E=247.39,-6.8,15.321,13.779
pre_processed_1_5280442_uff_E=247.39,-6.8,15.376,13.81
pre_processed_1_5280442_uff_E=247.39,-6.7,15.218,14.207
pre_processed_1_5280442_uff_E=247.39,-6.7,16.295,15.597
pre_processed_1_5280442_uff_E=247.39,-6.6,20.987,17.978
pre_processed_1_5280442_uff_E=247.39,-6.6,11.764,10.324
