Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_processed_1_5280442_uff_E=247.39,-7.2,0,0
pre_processed_1_5280442_uff_E=247.39,-6.9,11.29,10.527
pre_processed_1_5280442_uff_E=247.39,-6.8,15.258,12.975
pre_processed_1_5280442_uff_E=247.39,-6.7,16.215,15.275
pre_processed_1_5280442_uff_E=247.39,-6.6,15.254,14.196
pre_processed_1_5280442_uff_E=247.39,-6.6,21.057,17.963
pre_processed_1_5280442_uff_E=247.39,-6.5,14.891,13.992
pre_processed_1_5280442_uff_E=247.39,-6.3,2.838,1.531
pre_processed_1_5280442_uff_E=247.39,-6.3,17.245,15.832
