Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_processed_1_5280445_uff_E=242.10,-7.3,0,0
pre_processed_1_5280445_uff_E=242.10,-6.8,7.21,1.87
pre_processed_1_5280445_uff_E=242.10,-6.8,15.783,14.312
pre_processed_1_5280445_uff_E=242.10,-6.8,7.692,2.664
pre_processed_1_5280445_uff_E=242.10,-6.7,14.366,12.663
pre_processed_1_5280445_uff_E=242.10,-6.7,2.574,2.173
pre_processed_1_5280445_uff_E=242.10,-6.6,16.418,14.397
pre_processed_1_5280445_uff_E=242.10,-6.6,13.838,10.959
pre_processed_1_5280445_uff_E=242.10,-6.4,16.843,14.862
